SinhVienKey,MaSinhVien,HoTen,GioiTinh,NgaySinh,QueQuan,NgayNhapHoc,KhoaHoc,NamSinhVien,TrangThaiHocTap,LopKey,NganhKey,KhoaKey,NhomNangLuc
1,SV13001001,Bà Mai Lê,Nữ,2004-08-31,Bắc Giang,2022-09-09,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
2,SV13001002,Châu Văn Đặng,Nam,2004-11-12,Hà Nội,2022-09-20,Khóa 13,4,Tốt nghiệp,1,1,1,Yếu
3,SV13001003,Ông Phúc Trần,Nam,2004-04-26,Hải Phòng,2022-09-06,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
4,SV13001004,Chị Nhật Trần,Nữ,2004-12-16,Hải Dương,2022-08-02,Khóa 13,4,Chậm tiến độ,1,1,1,Khá
5,SV13001005,Nhiên Thế Hoàng,Nam,2004-01-18,Nam Định,2022-09-08,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
6,SV13001006,Anh Minh Trần,Nam,2004-02-03,Hải Dương,2022-08-14,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
7,SV13001007,Bác Tùng Vũ,Nam,2004-04-30,Thái Nguyên,2022-08-05,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
8,SV13001008,Phúc Thế Vũ,Nam,2004-07-29,Nghệ An,2022-08-28,Khóa 13,4,Tốt nghiệp,1,1,1,Yếu
9,SV13001009,Bảo Hữu Phạm,Nam,2004-10-17,Phú Thọ,2022-08-01,Khóa 13,4,Chậm tiến độ,1,1,1,Trung bình
10,SV13001010,Quý ông Quang Mai,Nam,2004-03-07,Thái Nguyên,2022-09-20,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
11,SV13001011,Lan Đặng,Nữ,2004-07-28,Ninh Bình,2022-08-15,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
12,SV13001012,Nam Đức Mai,Nam,2004-09-16,Hải Phòng,2022-08-01,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
13,SV13001013,Hà Phú Vũ,Nam,2004-03-24,Hà Nam,2022-09-21,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
14,SV13001014,Khoa Hoàng,Nữ,2004-04-06,Quảng Ninh,2022-08-13,Khóa 13,4,Chậm tiến độ,1,1,1,Yếu
15,SV13001015,Linh Dương,Nữ,2004-02-11,Thái Nguyên,2022-08-08,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
16,SV13001016,Bác Trọng Vũ,Nam,2004-09-08,Thái Nguyên,2022-08-12,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
17,SV13001017,Quý cô Nhật Trần,Nữ,2004-08-03,Hải Phòng,2022-09-20,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
18,SV13001018,Thành Dương,Nữ,2004-12-22,Hải Dương,2022-09-26,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
19,SV13001019,Hà Quang Trần,Nam,2004-11-09,Nghệ An,2022-09-18,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
20,SV13001020,Hạnh Hải Lê,Nam,2004-05-06,Bắc Giang,2022-09-12,Khóa 13,4,Tốt nghiệp,1,1,1,Yếu
21,SV13001021,Bà Nhật Dương,Nữ,2004-06-05,Bắc Ninh,2022-08-31,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
22,SV13001022,Trung Mai Phạm,Nam,2004-12-02,Quảng Ninh,2022-09-03,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
23,SV13001023,Kim Hữu Phạm,Nam,2004-02-29,Bắc Giang,2022-09-12,Khóa 13,4,Chậm tiến độ,1,1,1,Trung bình
24,SV13001024,Huy Đức Đặng,Nam,2004-11-20,Bắc Ninh,2022-08-12,Khóa 13,4,Chậm tiến độ,1,1,1,Trung bình
25,SV13001025,Hạnh Mai Vũ,Nam,2004-02-26,Bắc Ninh,2022-09-22,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
26,SV13001026,Lâm Tấn Lê,Nam,2004-08-05,Hải Dương,2022-08-12,Khóa 13,4,Chậm tiến độ,1,1,1,Giỏi
27,SV13001027,Hạnh Mai Bùi,Nam,2004-06-04,Nghệ An,2022-08-03,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
28,SV13001028,Hải Bảo Đặng,Nam,2004-02-06,Nam Định,2022-09-18,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
29,SV13001029,Huy Phú Đặng,Nam,2004-01-24,Thái Nguyên,2022-09-08,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
30,SV13001030,Nam Đức Mai,Nam,2004-09-29,Thanh Hóa,2022-08-25,Khóa 13,4,Tốt nghiệp,1,1,1,Yếu
31,SV13001031,Dũng Bảo Dương,Nam,2004-11-26,Phú Thọ,2022-09-16,Khóa 13,4,Tốt nghiệp,1,1,1,Giỏi
32,SV13001032,An Thị Phạm,Nam,2004-09-04,Nam Định,2022-08-12,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
33,SV13001033,Bà An Phạm,Nữ,2004-11-03,Phú Thọ,2022-09-14,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
34,SV13001034,Khoa Phú Trần,Nam,2004-08-03,Nam Định,2022-08-19,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
35,SV13001035,Tú Lê,Nam,2004-05-08,Hà Nội,2022-08-22,Khóa 13,4,Tốt nghiệp,1,1,1,Giỏi
36,SV13001036,Chị Duyên Lê,Nữ,2004-09-30,Bắc Ninh,2022-08-31,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
37,SV13001037,Nhiên Bùi,Nam,2004-10-03,Quảng Ninh,2022-09-20,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
38,SV13001038,Hà Nguyễn,Nữ,2004-04-15,Hà Nội,2022-09-10,Khóa 13,4,Tốt nghiệp,1,1,1,Yếu
39,SV13001039,Phúc Mai,Nam,2004-10-12,Phú Thọ,2022-09-19,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
40,SV13001040,Châu Tấn Đặng,Nam,2004-05-14,Thái Nguyên,2022-08-31,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
